,brown,grey,black,white,pink,red,yellow,orange,blue,green,purple,turquoise
brown,47.7027027027027,17.83783783783784,10.675675675675675,11.756756756756758,0.5405405405405406,4.054054054054054,0.13513513513513514,2.837837837837838,0.945945945945946,0.5405405405405406,1.4864864864864866,1.4864864864864866
grey,21.756756756756758,49.05405405405405,13.648648648648647,6.756756756756757,0.5405405405405406,1.3513513513513513,0.0,2.5675675675675675,2.5675675675675675,0.2702702702702703,0.945945945945946,0.5405405405405406
black,15.405405405405407,28.513513513513512,34.72972972972973,6.081081081081082,1.3513513513513513,7.972972972972974,0.0,2.4324324324324325,2.1621621621621623,0.5405405405405406,0.6756756756756757,0.13513513513513514
white,13.49527665317139,6.0728744939271255,2.1592442645074224,50.337381916329285,7.6923076923076925,1.0796221322537112,0.1349527665317139,6.342780026990553,3.3738191632928474,2.834008097165992,1.0796221322537112,5.398110661268556
pink,9.72972972972973,3.1081081081081083,1.2162162162162162,13.243243243243244,35.4054054054054,2.837837837837838,0.40540540540540543,20.81081081081081,0.8108108108108109,3.5135135135135136,1.7567567567567568,7.162162162162162
red,8.254397834912043,1.6238159675236805,5.818673883626523,5.683355886332882,14.614343707713125,43.978349120433016,0.6765899864682002,14.749661705006767,0.2706359945872801,1.6238159675236805,0.5412719891745602,2.165087956698241
yellow,13.49527665317139,6.747638326585695,3.643724696356275,10.526315789473683,31.713900134952766,6.342780026990553,0.8097165991902834,17.408906882591094,0.8097165991902834,1.7543859649122806,1.349527665317139,5.398110661268556
orange,13.783783783783784,3.783783783783784,1.6216216216216217,13.108108108108107,31.891891891891895,5.405405405405405,0.5405405405405406,21.08108108108108,0.40540540540540543,2.027027027027027,0.8108108108108109,5.540540540540541
blue,10.0,14.45945945945946,1.891891891891892,37.027027027027025,10.675675675675675,1.4864864864864866,0.13513513513513514,8.91891891891892,5.675675675675676,2.4324324324324325,1.4864864864864866,5.810810810810811
green,13.918918918918918,2.5675675675675675,3.2432432432432434,28.783783783783782,18.10810810810811,5.27027027027027,0.0,12.027027027027028,1.2162162162162162,4.864864864864865,1.2162162162162162,8.783783783783784
purple,19.054054054054053,15.0,5.405405405405405,22.432432432432435,11.216216216216218,3.6486486486486487,0.13513513513513514,11.351351351351353,4.324324324324325,1.7567567567567568,0.945945945945946,4.72972972972973
turquoise,10.960757780784844,4.600811907983761,0.6765899864682002,30.17591339648173,23.27469553450609,0.9472259810554804,0.13531799729364005,14.208389715832206,2.029769959404601,3.247631935047361,1.7591339648173208,7.983761840324763
